"R0000100","R0536300","R0536401","R0536402","R1235800","R1482600","Z9073400"
642,1,6,1980,1,4,1
643,1,3,1982,1,4,-4
644,1,9,1981,1,4,-4
645,1,1,1983,1,4,-4
646,1,10,1980,1,1,-4
647,1,7,1984,1,4,-4
648,1,1,1981,1,4,-4
649,1,6,1982,1,4,-4
650,2,5,1984,1,4,-4
651,2,9,1982,1,4,1
652,2,12,1983,1,4,-4
653,1,12,1983,1,4,1
654,2,2,1980,1,4,-4
655,2,1,1981,1,4,-4
656,1,11,1982,1,2,-4
657,1,3,1981,1,2,-4
658,2,10,1984,1,2,-4
659,1,8,1980,1,2,-4
660,2,7,1982,1,2,-4
661,1,11,1982,1,2,-4
662,1,8,1980,1,2,-4
663,1,11,1982,1,2,-4
664,1,6,1983,1,1,-4
665,1,2,1981,1,2,-4
666,2,6,1981,1,4,-4
667,2,11,1982,1,4,-4
668,2,3,1984,1,4,-4
669,1,2,1983,1,1,-4
670,1,2,1980,1,2,-4
671,1,12,1982,1,2,-4
672,2,1,1980,1,1,-4
673,1,11,1982,1,1,-4
674,2,8,1983,1,1,-4
675,2,1,1981,1,1,-4
676,2,9,1984,1,1,-4
677,2,1,1983,1,1,-4
678,1,8,1984,1,1,-4
679,2,6,1982,1,1,1
680,1,3,1980,1,1,-4
681,2,3,1984,1,1,-4
682,2,9,1980,1,1,-4
683,1,11,1983,1,1,-4
684,2,9,1984,1,1,-4
685,1,1,1983,1,1,-4
686,2,11,1982,1,4,-4
687,1,1,1983,1,4,-4
688,1,11,1982,1,2,1
689,2,8,1983,1,2,-4
690,1,7,1980,1,2,-4
691,1,6,1982,1,2,-4
692,1,9,1983,1,2,1
693,2,11,1984,1,4,-4
694,1,10,1980,1,2,-4
695,1,4,1980,1,2,-4
696,1,9,1982,1,2,-4
697,1,8,1984,1,2,-4
698,2,5,1980,1,1,-4
699,1,6,1984,1,1,-4
700,2,9,1980,1,1,-4
701,1,7,1982,1,1,-4
702,1,3,1982,1,1,-4
703,2,11,1980,1,1,-4
704,2,12,1981,1,4,-4
705,2,8,1980,1,4,-4
706,1,5,1982,1,4,-4
707,2,5,1982,1,4,-4
708,2,4,1980,1,1,-4
709,2,10,1981,1,2,-4
710,2,1,1982,1,1,-4
711,1,8,1984,1,1,-4
712,1,8,1982,1,1,-4
713,2,7,1983,1,1,1
714,1,8,1984,1,1,-4
715,2,8,1984,1,1,-4
716,1,5,1982,1,2,-4
717,1,11,1980,1,1,-4
718,1,10,1982,1,1,-4
719,1,11,1981,1,1,1
720,1,2,1980,1,4,-4
721,2,10,1981,1,2,-4
722,1,7,1983,1,4,-4
723,1,5,1983,1,2,-4
724,1,7,1982,1,4,-4
725,2,9,1980,1,1,-4
726,1,8,1982,1,1,-4
727,2,2,1984,1,1,-4
728,2,5,1983,1,1,-4
729,1,3,1980,1,1,1
730,2,12,1983,1,4,1
731,1,7,1981,1,4,-4
732,2,7,1984,1,4,-4
733,2,8,1981,1,4,-4
734,2,12,1983,1,4,-4
735,2,11,1980,1,4,-4
736,2,4,1984,1,4,-4
737,1,7,1982,1,4,-4
738,1,1,1981,1,4,-4
739,2,4,1982,1,4,-4
740,2,12,1984,1,4,-4
741,2,4,1982,1,4,-4
742,2,1,1982,1,4,-4
743,1,11,1982,1,4,-4
744,1,11,1982,1,4,-4
745,1,10,1980,1,4,-4
746,1,1,1982,1,4,-4
747,1,1,1981,1,4,-4
748,2,8,1983,1,1,-4
749,2,4,1983,1,1,-4
750,1,10,1982,1,1,1
751,2,11,1984,1,1,-4
752,1,3,1983,1,1,-4
753,1,12,1982,1,1,1
754,1,11,1980,1,2,-4
755,2,4,1982,1,4,-4
756,2,10,1984,1,4,-4
757,2,11,1980,1,4,-4
758,1,3,1982,1,4,-4
759,1,5,1983,1,4,-4
760,2,7,1982,1,4,-4
761,1,12,1982,1,4,-4
762,2,12,1980,1,2,-4
763,1,1,1980,1,4,-4
764,1,11,1981,1,1,-4
765,1,9,1983,1,2,-4
766,1,5,1984,1,4,-4
767,2,5,1981,1,4,-4
768,1,8,1984,1,1,-4
769,2,6,1980,1,4,-4
